armRegionName,serviceFamily,serviceName,skuName,armSkuName,retailPrice,priceType,reservationTerm,unitOfMeasure,currencyCode
koreacentral,Compute,Virtual Machines,D64s v3 Low Priority,Standard_D64s_v3,2.752,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D64s v3 Low Priority,Standard_D64s_v3,0.787,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D64ds v4,Standard_D64ds_v4,7.392,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D64ds v4,Standard_D64ds_v4,4.448,,,1 Hour,USD
koreacentral,Compute,Azure App Service,P0v4,P0v4,0.099,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,F2,Standard_F2,0.185,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,F2,Standard_F2,0.102,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D4alds v6 Spot,Standard_D4alds_v6,0.033652,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,HB176-24rsv4,Standard_HB176-24rs_v4,9.72,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,HB176-24rsv4,Standard_HB176-24rs_v4,63862.0,,1 Year,1 Hour,USD
koreacentral,Compute,Virtual Machines,HB176-24rsv4,Standard_HB176-24rs_v4,127724.0,,3 Years,1 Hour,USD
koreacentral,Compute,Virtual Machines,HB176-24rsv4,Standard_HB176-24rs_v4,141901.0,,5 Years,1 Hour,USD
koreacentral,Compute,Cloud Services,D2 v3 Low Priority,Standard_D2_v3,0.086,,,1 Hour,USD
koreacentral,Compute,Cloud Services,D2 v3 Low Priority,Standard_D2_v3,0.025,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D32 v3 Spot,Standard_D32_v3,0.492608,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D32 v3 Spot,Standard_D32_v3,0.281818,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D96als v6 Low Priority,Standard_D96als_v6,0.95,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,F1s Low Priority,Standard_F1s,0.037,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,F1s Low Priority,Standard_F1s,0.01,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D64-32s v3 Spot,Standard_D64-32s_v3,0.985216,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D64-32s v3 Spot,Standard_D64-32s_v3,0.563635,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D48 v3,Standard_D48_v3,5.16,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D48 v3,Standard_D48_v3,2.952,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D64alds v6 Spot,Standard_D64alds_v6,0.959583,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D64alds v6 Spot,Standard_D64alds_v6,0.538002,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,F32als v6 Spot,Standard_F32als_v6,0.4768,,,1 Hour,USD
koreacentral,Compute,Cloud Services,D16 v3 Low Priority,Standard_D16_v3,0.688,,,1 Hour,USD
koreacentral,Compute,Cloud Services,D16 v3 Low Priority,Standard_D16_v3,0.197,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D48 v3 Low Priority,Standard_D48_v3,0.59,,,1 Hour,USD
